Task,Design,Parameter,Kind,Connection,Condition,Estimate,Pp,Direction,SelfConnection
MDOD,Mean,"A(1,1)",Intrinsic A,M1_L → M1_L,,-1.3278551943193364,1.0,TDC > CCD,True
MDOD,Mean,"A(2,2)",Intrinsic A,M1_R → M1_R,,-0.8184466655350913,1.0,TDC > CCD,True
MDOD,Mean,"A(1,3)",Intrinsic A,A1_L → M1_L,,1.4596367188208073e-06,0.0,CCD > TDC,False
MDOD,Mean,"A(3,3)",Intrinsic A,A1_L → A1_L,,-0.41344895619968636,1.0,TDC > CCD,True
MDOD,Mean,"A(2,4)",Intrinsic A,A1_R → M1_R,,0.06536623415548516,0.7890877745385413,CCD > TDC,False
MDOD,Mean,"A(4,4)",Intrinsic A,A1_R → A1_R,,0.15817971831591424,0.9672977127024643,CCD > TDC,True
MDOD,Mean,"A(1,5)",Intrinsic A,V1_L → M1_L,,7.07808373759314e-07,0.0,CCD > TDC,False
MDOD,Mean,"A(5,5)",Intrinsic A,V1_L → V1_L,,-0.4062253058872083,1.0,TDC > CCD,True
MDOD,Mean,"A(2,6)",Intrinsic A,V1_R → M1_R,,1.3198317419962427e-07,0.0,CCD > TDC,False
MDOD,Mean,"A(6,6)",Intrinsic A,V1_R → V1_R,,2.1295298925105472e-07,0.0,CCD > TDC,True
MDOD,Mean,"B(2,1,1)",Modulatory B,M1_L → M1_R,"visual L, uncrossed",-2.7316071102885463e-07,0.0,TDC > CCD,False
MDOD,Mean,"B(1,5,1)",Modulatory B,V1_L → M1_L,"visual L, uncrossed",-2.0546423848025428e-06,0.0,TDC > CCD,False
MDOD,Mean,"B(2,5,1)",Modulatory B,V1_L → M1_R,"visual L, uncrossed",-2.011171227576405e-06,0.0,TDC > CCD,False
MDOD,Mean,"B(6,5,1)",Modulatory B,V1_L → V1_R,"visual L, uncrossed",8.12288461083758e-07,0.0,CCD > TDC,False
MDOD,Mean,"B(2,6,1)",Modulatory B,V1_R → M1_R,"visual L, uncrossed",6.955159391693521e-07,0.0,CCD > TDC,False
MDOD,Mean,"B(1,2,2)",Modulatory B,M1_R → M1_L,"visual R, uncrossed",-6.422410206248936e-07,0.0,TDC > CCD,False
MDOD,Mean,"B(1,5,2)",Modulatory B,V1_L → M1_L,"visual R, uncrossed",-1.0419220020483985e-06,0.0,TDC > CCD,False
MDOD,Mean,"B(1,6,2)",Modulatory B,V1_R → M1_L,"visual R, uncrossed",4.3519161912953555e-07,0.0,CCD > TDC,False
MDOD,Mean,"B(2,6,2)",Modulatory B,V1_R → M1_R,"visual R, uncrossed",-9.8317897584593e-07,0.0,TDC > CCD,False
MDOD,Mean,"B(5,6,2)",Modulatory B,V1_R → V1_L,"visual R, uncrossed",0.4405536119905681,1.0,CCD > TDC,False
MDOD,Mean,"B(2,1,3)",Modulatory B,M1_L → M1_R,"auditory L, uncrossed",-1.3974983263935834e-06,0.0,TDC > CCD,False
MDOD,Mean,"B(1,3,3)",Modulatory B,A1_L → M1_L,"auditory L, uncrossed",6.619678959602623e-07,0.0,CCD > TDC,False
MDOD,Mean,"B(2,3,3)",Modulatory B,A1_L → M1_R,"auditory L, uncrossed",-1.1758456372301421e-06,0.0,TDC > CCD,False
MDOD,Mean,"B(4,3,3)",Modulatory B,A1_L → A1_R,"auditory L, uncrossed",2.4532567114492163e-07,0.0,CCD > TDC,False
MDOD,Mean,"B(2,4,3)",Modulatory B,A1_R → M1_R,"auditory L, uncrossed",2.6590180773637175e-07,0.0,CCD > TDC,False
MDOD,Mean,"B(1,2,4)",Modulatory B,M1_R → M1_L,"auditory R, uncrossed",-1.0548040663416615e-06,0.0,TDC > CCD,False
MDOD,Mean,"B(1,3,4)",Modulatory B,A1_L → M1_L,"auditory R, uncrossed",8.888602805433724e-07,0.0,CCD > TDC,False
MDOD,Mean,"B(1,4,4)",Modulatory B,A1_R → M1_L,"auditory R, uncrossed",-2.1076184116923113e-06,0.0,TDC > CCD,False
MDOD,Mean,"B(2,4,4)",Modulatory B,A1_R → M1_R,"auditory R, uncrossed",-0.15341959903285524,0.6009743678287887,TDC > CCD,False
MDOD,Mean,"B(3,4,4)",Modulatory B,A1_R → A1_L,"auditory R, uncrossed",4.3111056817047125e-07,0.0,CCD > TDC,False
MDOD,Mean,"B(6,5,5)",Modulatory B,V1_L → V1_R,"visual L, crossed",1.194575177826492,1.0,CCD > TDC,False
MDOD,Mean,"B(2,6,5)",Modulatory B,V1_R → M1_R,"visual L, crossed",1.7357630490683385e-06,0.0,CCD > TDC,False
MDOD,Mean,"B(1,5,6)",Modulatory B,V1_L → M1_L,"visual R, crossed",2.337689402300593e-06,0.0,CCD > TDC,False
MDOD,Mean,"B(5,6,6)",Modulatory B,V1_R → V1_L,"visual R, crossed",2.806983973845554e-07,0.0,CCD > TDC,False
MDOD,Mean,"B(4,3,7)",Modulatory B,A1_L → A1_R,"auditory L, crossed",-6.427735201390781e-07,0.0,TDC > CCD,False
MDOD,Mean,"B(2,4,7)",Modulatory B,A1_R → M1_R,"auditory L, crossed",-1.6154717154598466e-06,0.0,TDC > CCD,False
MDOD,Mean,"B(1,3,8)",Modulatory B,A1_L → M1_L,"auditory R, crossed",-5.894365517820179e-07,0.0,TDC > CCD,False
MDOD,Mean,"B(3,4,8)",Modulatory B,A1_R → A1_L,"auditory R, crossed",3.1736569148885874e-07,0.0,CCD > TDC,False
MDOD,CCD_minus_TDC,"A(1,1)",Intrinsic A,M1_L → M1_L,,0.21836353767103114,1.0,CCD > TDC,True
MDOD,CCD_minus_TDC,"A(2,2)",Intrinsic A,M1_R → M1_R,,0.3394382266720212,1.0,CCD > TDC,True
MDOD,CCD_minus_TDC,"A(1,3)",Intrinsic A,A1_L → M1_L,,-1.2832452005183988e-07,0.0,TDC > CCD,False
MDOD,CCD_minus_TDC,"A(3,3)",Intrinsic A,A1_L → A1_L,,0.14777059539990897,1.0,CCD > TDC,True
MDOD,CCD_minus_TDC,"A(2,4)",Intrinsic A,A1_R → M1_R,,0.051733116312720165,0.6996231830005885,CCD > TDC,False
MDOD,CCD_minus_TDC,"A(4,4)",Intrinsic A,A1_R → A1_R,,-0.22298432356683692,1.0,TDC > CCD,True
MDOD,CCD_minus_TDC,"A(1,5)",Intrinsic A,V1_L → M1_L,,0.03514490222257553,0.7888495194774819,CCD > TDC,False
MDOD,CCD_minus_TDC,"A(5,5)",Intrinsic A,V1_L → V1_L,,0.25391919898517956,1.0,CCD > TDC,True
MDOD,CCD_minus_TDC,"A(2,6)",Intrinsic A,V1_R → M1_R,,0.06435539208953153,1.0,CCD > TDC,False
MDOD,CCD_minus_TDC,"A(6,6)",Intrinsic A,V1_R → V1_R,,1.1095919865287767e-06,0.0,CCD > TDC,True
MDOD,CCD_minus_TDC,"B(2,1,1)",Modulatory B,M1_L → M1_R,"visual L, uncrossed",1.1779994887691982e-07,0.0,CCD > TDC,False
MDOD,CCD_minus_TDC,"B(1,5,1)",Modulatory B,V1_L → M1_L,"visual L, uncrossed",-2.7455435420301353e-06,0.0,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(2,5,1)",Modulatory B,V1_L → M1_R,"visual L, uncrossed",-5.967602808108579e-07,0.0,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(6,5,1)",Modulatory B,V1_L → V1_R,"visual L, uncrossed",-5.913190098872144e-07,0.0,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(2,6,1)",Modulatory B,V1_R → M1_R,"visual L, uncrossed",-1.1850217926131713e-06,0.0,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(1,2,2)",Modulatory B,M1_R → M1_L,"visual R, uncrossed",8.555625564362146e-07,0.0,CCD > TDC,False
MDOD,CCD_minus_TDC,"B(1,5,2)",Modulatory B,V1_L → M1_L,"visual R, uncrossed",1.9547978014823722e-07,0.0,CCD > TDC,False
MDOD,CCD_minus_TDC,"B(1,6,2)",Modulatory B,V1_R → M1_L,"visual R, uncrossed",-0.11889810191404687,0.529525570951825,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(2,6,2)",Modulatory B,V1_R → M1_R,"visual R, uncrossed",-0.28776036190563975,1.0,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(5,6,2)",Modulatory B,V1_R → V1_L,"visual R, uncrossed",6.247086180295877e-07,0.0,CCD > TDC,False
MDOD,CCD_minus_TDC,"B(2,1,3)",Modulatory B,M1_L → M1_R,"auditory L, uncrossed",-1.2818048388205258e-06,0.0,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(1,3,3)",Modulatory B,A1_L → M1_L,"auditory L, uncrossed",9.255980888413598e-08,0.0,CCD > TDC,False
MDOD,CCD_minus_TDC,"B(2,3,3)",Modulatory B,A1_L → M1_R,"auditory L, uncrossed",1.3280801371914204e-07,0.0,CCD > TDC,False
MDOD,CCD_minus_TDC,"B(4,3,3)",Modulatory B,A1_L → A1_R,"auditory L, uncrossed",1.4854127793395796e-06,0.0,CCD > TDC,False
MDOD,CCD_minus_TDC,"B(2,4,3)",Modulatory B,A1_R → M1_R,"auditory L, uncrossed",-1.4147664505117261e-06,0.0,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(1,2,4)",Modulatory B,M1_R → M1_L,"auditory R, uncrossed",-5.449355250265955e-07,0.0,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(1,3,4)",Modulatory B,A1_L → M1_L,"auditory R, uncrossed",-1.859616871371043e-06,0.0,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(1,4,4)",Modulatory B,A1_R → M1_L,"auditory R, uncrossed",-7.473217332683485e-07,0.0,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(2,4,4)",Modulatory B,A1_R → M1_R,"auditory R, uncrossed",-0.11117943960329357,0.47252445866917736,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(3,4,4)",Modulatory B,A1_R → A1_L,"auditory R, uncrossed",-9.825202145674295e-07,0.0,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(6,5,5)",Modulatory B,V1_L → V1_R,"visual L, crossed",5.986187544748768e-07,0.0,CCD > TDC,False
MDOD,CCD_minus_TDC,"B(2,6,5)",Modulatory B,V1_R → M1_R,"visual L, crossed",-0.2507073719579041,0.9546138690208968,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(1,5,6)",Modulatory B,V1_L → M1_L,"visual R, crossed",4.0121329597444684e-07,0.0,CCD > TDC,False
MDOD,CCD_minus_TDC,"B(5,6,6)",Modulatory B,V1_R → V1_L,"visual R, crossed",-1.4598079501272425e-07,0.0,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(4,3,7)",Modulatory B,A1_L → A1_R,"auditory L, crossed",9.86165987387843e-07,0.0,CCD > TDC,False
MDOD,CCD_minus_TDC,"B(2,4,7)",Modulatory B,A1_R → M1_R,"auditory L, crossed",4.87900203420624e-07,0.0,CCD > TDC,False
MDOD,CCD_minus_TDC,"B(1,3,8)",Modulatory B,A1_L → M1_L,"auditory R, crossed",-2.1905737023099467e-06,0.0,TDC > CCD,False
MDOD,CCD_minus_TDC,"B(3,4,8)",Modulatory B,A1_R → A1_L,"auditory R, crossed",1.235450607462345e-07,0.0,CCD > TDC,False
MDOG,Mean,"A(1,1)",Intrinsic A,M1_L → M1_L,,-1.255984214908076,1.0,TDC > CCD,True
MDOG,Mean,"A(2,2)",Intrinsic A,M1_R → M1_R,,-0.7220201390370794,1.0,TDC > CCD,True
MDOG,Mean,"A(1,3)",Intrinsic A,A1_L → M1_L,,-1.5026184354009474e-06,0.0,TDC > CCD,False
MDOG,Mean,"A(3,3)",Intrinsic A,A1_L → A1_L,,0.6828583835081564,1.0,CCD > TDC,True
MDOG,Mean,"A(2,4)",Intrinsic A,A1_R → M1_R,,0.047445262485449814,0.7993221171205261,CCD > TDC,False
MDOG,Mean,"A(4,4)",Intrinsic A,A1_R → A1_R,,-0.4962995238653196,1.0,TDC > CCD,True
MDOG,Mean,"A(1,5)",Intrinsic A,V1_L → M1_L,,-1.3886531135245405e-07,0.0,TDC > CCD,False
MDOG,Mean,"A(5,5)",Intrinsic A,V1_L → V1_L,,-0.2939479411557286,1.0,TDC > CCD,True
MDOG,Mean,"A(2,6)",Intrinsic A,V1_R → M1_R,,-2.4583620733387105e-07,0.0,TDC > CCD,False
MDOG,Mean,"A(6,6)",Intrinsic A,V1_R → V1_R,,-0.3048083938592369,1.0,TDC > CCD,True
MDOG,Mean,"B(2,1,1)",Modulatory B,M1_L → M1_R,"visual L, uncrossed",-5.689133050362716e-07,0.0,TDC > CCD,False
MDOG,Mean,"B(1,5,1)",Modulatory B,V1_L → M1_L,"visual L, uncrossed",2.3195586991057995e-06,0.0,CCD > TDC,False
MDOG,Mean,"B(2,5,1)",Modulatory B,V1_L → M1_R,"visual L, uncrossed",-1.0359897322545865e-06,0.0,TDC > CCD,False
MDOG,Mean,"B(6,5,1)",Modulatory B,V1_L → V1_R,"visual L, uncrossed",-6.523288844205999e-07,0.0,TDC > CCD,False
MDOG,Mean,"B(2,6,1)",Modulatory B,V1_R → M1_R,"visual L, uncrossed",6.034322187835297e-07,0.0,CCD > TDC,False
MDOG,Mean,"B(1,2,2)",Modulatory B,M1_R → M1_L,"visual R, uncrossed",-1.4354428588446932e-07,0.0,TDC > CCD,False
MDOG,Mean,"B(1,5,2)",Modulatory B,V1_L → M1_L,"visual R, uncrossed",8.914844035364176e-07,0.0,CCD > TDC,False
MDOG,Mean,"B(1,6,2)",Modulatory B,V1_R → M1_L,"visual R, uncrossed",1.4374993540330046e-06,0.0,CCD > TDC,False
MDOG,Mean,"B(2,6,2)",Modulatory B,V1_R → M1_R,"visual R, uncrossed",1.2910856370703464e-06,0.0,CCD > TDC,False
MDOG,Mean,"B(5,6,2)",Modulatory B,V1_R → V1_L,"visual R, uncrossed",9.0829001807689e-07,0.0,CCD > TDC,False
MDOG,Mean,"B(2,1,3)",Modulatory B,M1_L → M1_R,"auditory L, uncrossed",-1.4156018131086637e-06,0.0,TDC > CCD,False
MDOG,Mean,"B(1,3,3)",Modulatory B,A1_L → M1_L,"auditory L, uncrossed",-1.1763302916415912e-06,0.0,TDC > CCD,False
MDOG,Mean,"B(2,3,3)",Modulatory B,A1_L → M1_R,"auditory L, uncrossed",6.806622396673362e-07,0.0,CCD > TDC,False
MDOG,Mean,"B(4,3,3)",Modulatory B,A1_L → A1_R,"auditory L, uncrossed",-1.233674542582422e-06,0.0,TDC > CCD,False
MDOG,Mean,"B(2,4,3)",Modulatory B,A1_R → M1_R,"auditory L, uncrossed",1.0378733596344004e-06,0.0,CCD > TDC,False
MDOG,Mean,"B(1,2,4)",Modulatory B,M1_R → M1_L,"auditory R, uncrossed",-1.2487995440471732e-06,0.0,TDC > CCD,False
MDOG,Mean,"B(1,3,4)",Modulatory B,A1_L → M1_L,"auditory R, uncrossed",-1.2362972172175624e-06,0.0,TDC > CCD,False
MDOG,Mean,"B(1,4,4)",Modulatory B,A1_R → M1_L,"auditory R, uncrossed",-7.584078540705635e-07,0.0,TDC > CCD,False
MDOG,Mean,"B(2,4,4)",Modulatory B,A1_R → M1_R,"auditory R, uncrossed",1.0101569051291756e-07,0.0,CCD > TDC,False
MDOG,Mean,"B(3,4,4)",Modulatory B,A1_R → A1_L,"auditory R, uncrossed",-1.288937641075614e-07,0.0,TDC > CCD,False
MDOG,Mean,"B(6,5,5)",Modulatory B,V1_L → V1_R,"visual L, crossed",-1.6422891795759036e-07,0.0,TDC > CCD,False
MDOG,Mean,"B(2,6,5)",Modulatory B,V1_R → M1_R,"visual L, crossed",5.368137528417952e-07,0.0,CCD > TDC,False
MDOG,Mean,"B(1,5,6)",Modulatory B,V1_L → M1_L,"visual R, crossed",-2.9701862759666477e-07,0.0,TDC > CCD,False
MDOG,Mean,"B(5,6,6)",Modulatory B,V1_R → V1_L,"visual R, crossed",2.7053921392511963e-07,0.0,CCD > TDC,False
MDOG,Mean,"B(4,3,7)",Modulatory B,A1_L → A1_R,"auditory L, crossed",-0.35639497027612566,0.9894755961209422,TDC > CCD,False
MDOG,Mean,"B(2,4,7)",Modulatory B,A1_R → M1_R,"auditory L, crossed",-1.8600312393300736e-06,0.0,TDC > CCD,False
MDOG,Mean,"B(1,3,8)",Modulatory B,A1_L → M1_L,"auditory R, crossed",2.4818180261576316e-07,0.0,CCD > TDC,False
MDOG,Mean,"B(3,4,8)",Modulatory B,A1_R → A1_L,"auditory R, crossed",-5.601677804592672e-07,0.0,TDC > CCD,False
MDOG,CCD_minus_TDC,"A(1,1)",Intrinsic A,M1_L → M1_L,,0.2991636737291952,1.0,CCD > TDC,True
MDOG,CCD_minus_TDC,"A(2,2)",Intrinsic A,M1_R → M1_R,,0.13345340713434586,0.9439365958755278,CCD > TDC,True
MDOG,CCD_minus_TDC,"A(1,3)",Intrinsic A,A1_L → M1_L,,1.7114235175177551e-06,0.0,CCD > TDC,False
MDOG,CCD_minus_TDC,"A(3,3)",Intrinsic A,A1_L → A1_L,,1.0689739241839969e-06,0.0,CCD > TDC,True
MDOG,CCD_minus_TDC,"A(2,4)",Intrinsic A,A1_R → M1_R,,-0.1067120181089794,0.9991657316097136,TDC > CCD,False
MDOG,CCD_minus_TDC,"A(4,4)",Intrinsic A,A1_R → A1_R,,0.28510495557190685,1.0,CCD > TDC,True
MDOG,CCD_minus_TDC,"A(1,5)",Intrinsic A,V1_L → M1_L,,-2.210883792314738e-06,0.0,TDC > CCD,False
MDOG,CCD_minus_TDC,"A(5,5)",Intrinsic A,V1_L → V1_L,,-1.0300888924368226e-06,0.0,TDC > CCD,True
MDOG,CCD_minus_TDC,"A(2,6)",Intrinsic A,V1_R → M1_R,,4.643409721584381e-07,0.0,CCD > TDC,False
MDOG,CCD_minus_TDC,"A(6,6)",Intrinsic A,V1_R → V1_R,,9.330870649828064e-07,0.0,CCD > TDC,True
MDOG,CCD_minus_TDC,"B(2,1,1)",Modulatory B,M1_L → M1_R,"visual L, uncrossed",-1.1983008124948267e-06,0.0,TDC > CCD,False
MDOG,CCD_minus_TDC,"B(1,5,1)",Modulatory B,V1_L → M1_L,"visual L, uncrossed",1.031288994082654e-06,0.0,CCD > TDC,False
MDOG,CCD_minus_TDC,"B(2,5,1)",Modulatory B,V1_L → M1_R,"visual L, uncrossed",2.6796317893558655e-07,0.0,CCD > TDC,False
MDOG,CCD_minus_TDC,"B(6,5,1)",Modulatory B,V1_L → V1_R,"visual L, uncrossed",8.912548154434e-07,0.0,CCD > TDC,False
MDOG,CCD_minus_TDC,"B(2,6,1)",Modulatory B,V1_R → M1_R,"visual L, uncrossed",9.16593573041271e-07,0.0,CCD > TDC,False
MDOG,CCD_minus_TDC,"B(1,2,2)",Modulatory B,M1_R → M1_L,"visual R, uncrossed",8.477623421592348e-07,0.0,CCD > TDC,False
MDOG,CCD_minus_TDC,"B(1,5,2)",Modulatory B,V1_L → M1_L,"visual R, uncrossed",0.3413854531642776,0.9025364405699023,CCD > TDC,False
MDOG,CCD_minus_TDC,"B(1,6,2)",Modulatory B,V1_R → M1_L,"visual R, uncrossed",-0.2940066132169621,0.9059538845170325,TDC > CCD,False
MDOG,CCD_minus_TDC,"B(2,6,2)",Modulatory B,V1_R → M1_R,"visual R, uncrossed",-7.940155107256542e-07,0.0,TDC > CCD,False
MDOG,CCD_minus_TDC,"B(5,6,2)",Modulatory B,V1_R → V1_L,"visual R, uncrossed",-0.5672305576892027,1.0,TDC > CCD,False
MDOG,CCD_minus_TDC,"B(2,1,3)",Modulatory B,M1_L → M1_R,"auditory L, uncrossed",2.7936889659216826e-07,0.0,CCD > TDC,False
MDOG,CCD_minus_TDC,"B(1,3,3)",Modulatory B,A1_L → M1_L,"auditory L, uncrossed",1.2578700124425535e-06,0.0,CCD > TDC,False
MDOG,CCD_minus_TDC,"B(2,3,3)",Modulatory B,A1_L → M1_R,"auditory L, uncrossed",-7.155032328386665e-08,0.0,TDC > CCD,False
MDOG,CCD_minus_TDC,"B(4,3,3)",Modulatory B,A1_L → A1_R,"auditory L, uncrossed",-9.002744205706261e-07,0.0,TDC > CCD,False
MDOG,CCD_minus_TDC,"B(2,4,3)",Modulatory B,A1_R → M1_R,"auditory L, uncrossed",-3.12628922228424e-07,0.0,TDC > CCD,False
MDOG,CCD_minus_TDC,"B(1,2,4)",Modulatory B,M1_R → M1_L,"auditory R, uncrossed",-7.720304836359637e-08,0.0,TDC > CCD,False
MDOG,CCD_minus_TDC,"B(1,3,4)",Modulatory B,A1_L → M1_L,"auditory R, uncrossed",-8.604987891706632e-08,0.0,TDC > CCD,False
MDOG,CCD_minus_TDC,"B(1,4,4)",Modulatory B,A1_R → M1_L,"auditory R, uncrossed",-1.5725404429094088e-06,0.0,TDC > CCD,False
MDOG,CCD_minus_TDC,"B(2,4,4)",Modulatory B,A1_R → M1_R,"auditory R, uncrossed",-2.6102567256702405e-07,0.0,TDC > CCD,False
MDOG,CCD_minus_TDC,"B(3,4,4)",Modulatory B,A1_R → A1_L,"auditory R, uncrossed",8.9172756778549e-07,0.0,CCD > TDC,False
MDOG,CCD_minus_TDC,"B(6,5,5)",Modulatory B,V1_L → V1_R,"visual L, crossed",-0.6069621823372006,0.9875054527763286,TDC > CCD,False
MDOG,CCD_minus_TDC,"B(2,6,5)",Modulatory B,V1_R → M1_R,"visual L, crossed",1.0730813342934503e-06,0.0,CCD > TDC,False
MDOG,CCD_minus_TDC,"B(1,5,6)",Modulatory B,V1_L → M1_L,"visual R, crossed",-9.360603777640821e-07,0.0,TDC > CCD,False
MDOG,CCD_minus_TDC,"B(5,6,6)",Modulatory B,V1_R → V1_L,"visual R, crossed",-1.1231237450234611e-07,0.0,TDC > CCD,False
MDOG,CCD_minus_TDC,"B(4,3,7)",Modulatory B,A1_L → A1_R,"auditory L, crossed",-6.841235523297852e-07,0.0,TDC > CCD,False
MDOG,CCD_minus_TDC,"B(2,4,7)",Modulatory B,A1_R → M1_R,"auditory L, crossed",0.37282689524801227,0.9983659545527368,CCD > TDC,False
MDOG,CCD_minus_TDC,"B(1,3,8)",Modulatory B,A1_L → M1_L,"auditory R, crossed",-3.738244437282093e-07,0.0,TDC > CCD,False
